ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,PRICE AFTER TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP
AUNTIE B SEMOLINA 1KG,FMCG,,,KG,,,,5975.00,5975.00,VAT,0.00%,Inclusive,5700.00,75.00,,,,,,
AUNTIE B SEMOLINA 5KG,FMCG,,,KG,,,,2883.00,2883.00,VAT,0.00%,Inclusive,2750.00,280.00,,,,,,
AUNTIE B SPAGHETTI SLIM 500G,FMCG,,,Carton,,,,6530.00,6530.00,VAT,0.00%,Inclusive,6350.00,202.00,,,,,,
AUNTY B SPAGHETTI STANDARD,FMCG,,,Carton,,,,6530.00,6530.00,VAT,0.00%,Inclusive,6350.00,0.00,,,,,,
B B RICE 10KG,FMCG,,,Bag,,,,5775.00,5775.00,VAT,0.00%,Inclusive,5775.00,27.00,,,,,,
B B RICE 2.25KG,FMCG,,,Bag,,,,9030.00,9030.00,VAT,0.00%,Inclusive,9030.00,0.00,,,,,,
B B RICE 25KG,FMCG,,,Bag,,,,0.00,0.00,VAT,0.00%,Inclusive,0.00,0.00,,,,,,
B B RICE 50KG,FMCG,,,Bag,,,,0.00,0.00,VAT,0.00%,Inclusive,0.00,0.00,,,,,,
B B RICE 5KG,FMCG,,,Bag,,,,3000.00,3000.00,VAT,0.00%,Inclusive,3000.00,28.00,,,,,,
B B RICE 750G,FMCG,,,Bag,,,,8720.00,8720.00,VAT,0.00%,Inclusive,8720.00,0.00,,,,,,
BTF 25 LITRE OIL,FMCG,,,Keg,,,,30000.00,30000.00,VAT,0.00%,Inclusive,30000.00,0.00,,,,,,
BTF 4 LITRE OIL,FMCG,,,Carton,,,,19056.00,19056.00,VAT,0.00%,Inclusive,19200.00,0.00,,,,,,
BTF VEG OIL 3LTR,FMCG,,,Carton,,,,21440.00,21440.00,VAT,0.00%,Inclusive,21600.00,0.00,,,,,,
BTF VEG OIL 450ML,FMCG,,,Carton,,,,0.00,0.00,VAT,0.00%,Inclusive,0.00,0.00,,,,,,
BTF ZESTY LEMON 450ML BOTTLE,FMCG,,,Satchet,,,,0.00,0.00,VAT,0.00%,Inclusive,0.00,0.00,,,,,,
